step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
47,0,0,2,1,0.0,0.0,2.4,1.2,5.4,1.2,0.6,-2.35,EW,VERY_LIGHT,2,5,0.0,2
48,0,0,2,1,0.0,0.0,2.4,1.2,3.9,1.2,0.3,-2.45,EW,VERY_LIGHT,3,5,0.0,0
49,1,0,2,1,1.0,0.0,6.1,1.2,12.23,1.2,1.23,-3.73,EW,VERY_LIGHT,4,5,1.0,0
50,2,0,3,2,2.0,0.0,11.0,2.4,23.25,2.4,2.45,-0.3,EW,VERY_LIGHT,5,7,2.0,0
51,2,0,3,2,4.0,0.0,11.4,2.4,22.65,3.9,2.25,0.3,EW,VERY_LIGHT,6,7,4.0,0
52,2,0,3,2,6.0,0.0,11.8,2.4,23.55,3.9,2.35,0.3,EW,VERY_LIGHT,7,7,6.0,0
53,2,0,3,0,8.0,0,12.2,0.0,19.82,0.0,1.52,-0.3,EW,EMPTY,8,7,8.0,0
54,3,0,4,0,10.0,0,17.3,0.0,25.18,0.0,1.58,-0.6,EW,EMPTY,9,8,10.0,0
55,2,0,4,0,12.0,0,14.2,0.0,17.7,0.0,0.7,-0.6,EW,EMPTY,10,7,12.0,1
56,3,0,4,1,15.0,0.0,18.3,1.2,26.43,1.2,1.62,-0.3,EW,VERY_LIGHT,11,7,15.0,1
57,4,0,5,1,18.0,0.0,23.6,1.2,37.85,2.7,2.85,0.3,EW,VERY_LIGHT,12,8,18.0,0
58,3,0,5,1,21.0,0.0,20.7,1.2,24.95,2.7,0.85,0.3,EW,VERY_LIGHT,13,7,21.0,1
59,3,0,5,0,24.0,0,21.3,0.0,30.18,0.0,1.77,0.0,EW,EMPTY,14,6,24.0,1
60,3,0,5,0,27.0,0,21.9,0.0,26.4,0.0,0.9,-0.3,NS,MEDIUM,0,6,27.0,0
61,3,0,5,0,8.0,0,18.1,0.0,18.1,0.0,-1.38,-0.3,NS,LIGHT,1,6,8.0,0
62,1,0,4,0,2.0,0,8.7,0.0,8.7,0.0,-3.0,-0.3,NS,LIGHT,2,7,2.0,0
63,0,0,4,1,0.0,0.0,4.8,1.2,4.8,2.7,-4.12,0.3,NS,VERY_LIGHT,3,7,0.0,1
64,0,0,4,1,0.0,0.0,4.8,1.2,4.8,2.7,-4.27,0.3,NS,VERY_LIGHT,4,7,0.0,0
65,0,0,4,1,0.0,0.0,4.8,1.2,4.8,2.7,-3.33,0.3,NS,VERY_LIGHT,5,7,0.0,0
66,0,0,2,1,0.0,0.0,2.4,1.2,2.4,2.7,-1.58,0.3,NS,VERY_LIGHT,6,7,0.0,0
67,0,0,3,2,0.0,0.0,3.6,2.4,3.6,3.9,-0.3,0.3,NS,VERY_LIGHT,7,9,0.0,0
68,0,1,3,2,0.0,1.0,3.6,6.1,3.6,12.23,-0.3,1.23,NS,VERY_LIGHT,8,9,1.0,0
69,0,1,2,2,0.0,2.0,2.4,6.3,2.4,12.68,-0.6,1.28,NS,VERY_LIGHT,9,9,2.0,0
70,0,1,2,2,0.0,3.0,2.4,6.5,2.4,13.12,0.0,1.32,NS,VERY_LIGHT,10,8,3.0,2
71,0,1,3,2,0.0,4.0,3.6,6.7,3.6,12.08,0.0,1.08,NS,VERY_LIGHT,11,9,4.0,0
72,0,2,2,2,0.0,6.0,2.4,10.6,2.4,16.23,-0.3,1.13,NS,VERY_LIGHT,12,9,6.0,0
73,0,2,1,2,0.0,8.0,1.2,11.0,1.2,16.88,-0.3,1.17,NS,VERY_LIGHT,13,7,8.0,2
74,0,2,1,2,0.0,10.0,1.2,11.4,1.2,17.52,-0.3,1.23,NS,VERY_LIGHT,14,7,10.0,0
75,0,3,1,3,0.0,12.0,1.2,16.5,1.2,28.75,-0.6,2.45,EW,MEDIUM,0,7,12.0,2
76,0,0,1,3,0.0,0.0,1.2,3.6,1.2,3.6,-0.3,-1.75,EW,VERY_LIGHT,1,7,0.0,0
77,0,0,2,1,0.0,0.0,2.4,1.2,3.9,1.2,0.3,-2.45,EW,VERY_LIGHT,2,6,0.0,2
78,0,0,2,2,0.0,0.0,2.4,2.4,3.9,2.4,0.3,-2.25,EW,VERY_LIGHT,3,7,0.0,0
79,1,0,2,2,1.0,0.0,6.1,2.4,12.23,2.4,1.23,-3.52,EW,VERY_LIGHT,4,6,1.0,1
80,1,0,2,2,2.0,0.0,6.3,2.4,12.68,2.4,1.28,-0.3,EW,VERY_LIGHT,5,6,2.0,0
81,1,0,2,1,3.0,0.0,6.5,1.2,11.62,1.2,1.02,0.0,EW,VERY_LIGHT,6,6,3.0,0
82,3,0,3,0,5.0,0,15.1,0.0,30.98,0.0,3.17,-0.6,EW,EMPTY,7,7,5.0,0
83,2,0,3,0,7.0,0,12.0,0.0,19.38,0.0,1.47,-0.6,EW,EMPTY,8,7,7.0,0
84,2,0,3,0,9.0,0,12.4,0.0,20.02,0.0,1.52,-0.6,EW,EMPTY,9,7,9.0,0
85,3,0,4,0,11.0,0,17.5,0.0,31.25,0.0,2.75,-0.3,EW,EMPTY,10,8,11.0,0
86,2,0,4,0,13.0,0,14.4,0.0,14.4,0.0,-0.17,0.0,EW,EMPTY,11,6,13.0,2
87,2,0,4,0,15.0,0,14.8,0.0,18.3,0.0,0.7,0.0,EW,EMPTY,12,6,15.0,0
88,2,0,5,1,17.0,0.0,16.4,1.2,21.4,2.7,1.0,0.3,EW,VERY_LIGHT,13,6,17.0,2
89,3,0,5,2,20.0,0.0,20.5,2.4,24.25,5.4,0.75,0.6,EW,VERY_LIGHT,14,7,20.0,0
90,3,0,5,2,23.0,0.0,21.1,2.4,29.48,5.4,1.68,0.6,NS,MEDIUM,0,7,23.0,0
91,1,0,5,2,3.0,0.0,10.1,2.4,10.1,5.4,-1.18,0.6,NS,LIGHT,1,7,3.0,0
92,1,1,3,2,1.0,1.0,7.3,6.1,7.3,12.23,-2.27,1.23,NS,VERY_LIGHT,2,7,2.0,0
93,0,1,4,2,0.0,2.0,4.8,6.3,4.8,11.18,-3.92,0.98,NS,VERY_LIGHT,3,8,2.0,0
94,0,2,4,2,0.0,4.0,4.8,10.2,4.8,19.95,-4.08,1.95,NS,VERY_LIGHT,4,8,4.0,0
95,0,2,4,2,0.0,6.0,4.8,10.6,4.8,20.85,-1.32,2.05,NS,VERY_LIGHT,5,8,6.0,0
96,0,2,2,2,0.0,8.0,2.4,11.0,2.4,17.12,-1.23,1.22,NS,VERY_LIGHT,6,8,8.0,0
97,0,2,3,2,0.0,10.0,3.6,11.4,3.6,17.77,-0.3,1.27,NS,VERY_LIGHT,7,9,10.0,0
98,0,2,3,2,0.0,12.0,3.6,11.8,3.6,13.8,-0.3,0.4,NS,VERY_LIGHT,8,9,12.0,0
99,0,2,1,2,0.0,14.0,1.2,12.2,1.2,14.2,-0.9,0.4,NS,VERY_LIGHT,9,9,14.0,0
100,0,4,3,4,0.0,16.0,3.6,22.0,5.1,35.75,0.3,2.75,NS,VERY_LIGHT,10,12,16.0,1
101,0,2,2,4,0.0,18.0,2.4,15.4,2.4,20.4,-0.3,1.0,NS,VERY_LIGHT,11,11,18.0,1
102,0,2,2,4,0.0,20.0,2.4,15.8,2.4,20.8,-0.3,1.0,NS,VERY_LIGHT,12,11,20.0,0
103,0,2,1,4,0.0,22.0,1.2,16.2,1.2,21.2,0.0,1.0,NS,VERY_LIGHT,13,9,22.0,2
104,0,2,0,4,0,24.0,0.0,16.6,0.0,16.6,-0.9,-1.35,NS,EMPTY,14,9,24.0,0
105,0,2,0,4,0,26.0,0.0,17.0,0.0,19.0,-0.6,0.4,EW,LIGHT,0,7,26.0,2
106,0,0,0,4,0,0.0,0.0,4.8,0.0,4.8,-0.6,-2.75,EW,VERY_LIGHT,1,7,0.0,0
107,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,0.0,-3.45,EW,VERY_LIGHT,2,6,0.0,2
108,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-3.55,EW,VERY_LIGHT,3,7,0.0,0
109,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-3.65,EW,VERY_LIGHT,4,6,0.0,1
110,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-0.6,EW,VERY_LIGHT,5,6,0.0,0
111,0,0,2,1,0.0,0.0,2.4,1.2,3.9,1.2,0.3,-0.3,EW,VERY_LIGHT,6,6,0.0,0
112,1,0,2,1,1.0,0.0,6.1,1.2,10.73,1.2,0.93,-0.3,EW,VERY_LIGHT,7,7,1.0,0
113,3,0,3,2,3.0,0.0,14.7,2.4,30.07,2.4,3.07,0.0,EW,VERY_LIGHT,8,9,3.0,0
114,2,0,3,2,5.0,0.0,11.6,2.4,23.1,2.4,2.3,0.0,EW,VERY_LIGHT,9,9,5.0,0
115,2,0,3,1,7.0,0.0,12.0,1.2,24.0,1.2,2.4,0.0,EW,VERY_LIGHT,10,9,7.0,0
116,3,0,4,0,9.0,0,17.1,0.0,30.85,0.0,2.75,-0.3,EW,EMPTY,11,8,9.0,2
117,2,0,4,0,11.0,0,14.0,0.0,14.0,0.0,-0.17,-0.6,EW,EMPTY,12,8,11.0,0
118,2,0,4,0,13.0,0,14.4,0.0,17.9,0.0,0.7,-0.6,EW,EMPTY,13,7,13.0,1
119,4,0,5,0,16.0,0,23.2,0.0,37.2,0.0,2.8,-0.3,EW,EMPTY,14,7,16.0,1
