step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
143,0,7,NS_GREEN,13,129.0,2
144,0,7,NS_GREEN,15,136.0,0
145,0,7,NS_GREEN,13,143.0,2
146,0,7,NS_GREEN,15,150.0,0
147,0,7,NS_GREEN,13,157.0,2
148,0,7,NS_GREEN,14,164.0,1
149,0,7,NS_GREEN,13,171.0,1
150,0,7,EW_GREEN,14,178.0,1
151,1,5,EW_GREEN,14,127.0,1
152,1,3,EW_GREEN,16,78.0,0
153,2,1,EW_GREEN,14,29.0,2
154,2,0,EW_GREEN,13,5.0,1
155,2,0,EW_GREEN,13,7.0,1
156,4,0,EW_GREEN,13,11.0,0
157,5,0,EW_GREEN,13,16.0,0
158,5,0,EW_GREEN,13,21.0,0
159,5,0,EW_GREEN,15,26.0,0
160,5,0,EW_GREEN,15,31.0,0
161,5,0,EW_GREEN,13,36.0,2
162,5,0,EW_GREEN,15,41.0,0
163,5,0,EW_GREEN,13,46.0,2
164,5,0,EW_GREEN,13,51.0,0
165,5,0,EW_GREEN,13,56.0,2
166,5,0,EW_GREEN,13,61.0,0
167,5,0,EW_GREEN,13,66.0,1
168,5,0,EW_GREEN,13,71.0,1
169,5,0,EW_GREEN,13,76.0,1
170,5,0,EW_GREEN,13,81.0,1
171,5,0,EW_GREEN,12,86.0,2
172,5,0,EW_GREEN,13,91.0,0
173,5,0,EW_GREEN,12,96.0,2
174,5,0,EW_GREEN,13,101.0,0
175,5,0,EW_GREEN,13,106.0,1
176,5,0,EW_GREEN,13,111.0,1
177,5,0,EW_GREEN,12,116.0,2
178,5,0,EW_GREEN,12,121.0,1
179,5,0,EW_GREEN,12,126.0,1
180,5,0,NS_GREEN,12,131.0,1
181,3,0,NS_GREEN,12,80.0,1
182,1,0,NS_GREEN,12,27.0,1
183,0,2,NS_GREEN,12,2.0,1
184,0,3,NS_GREEN,12,5.0,1
185,0,4,NS_GREEN,12,9.0,0
186,0,4,NS_GREEN,12,13.0,0
187,0,6,NS_GREEN,12,19.0,0
188,0,7,NS_GREEN,12,26.0,0
189,0,7,NS_GREEN,12,33.0,0
190,0,7,NS_GREEN,10,40.0,2
191,0,7,NS_GREEN,10,47.0,0
192,0,7,NS_GREEN,10,54.0,0
193,0,7,NS_GREEN,8,61.0,2
194,0,7,NS_GREEN,8,68.0,0
195,0,7,NS_GREEN,7,75.0,1
196,0,7,NS_GREEN,7,82.0,0
197,0,7,NS_GREEN,7,89.0,0
198,0,7,NS_GREEN,7,96.0,0
199,0,7,NS_GREEN,7,103.0,0
200,0,7,NS_GREEN,7,110.0,0
201,0,7,NS_GREEN,7,117.0,0
202,0,7,NS_GREEN,7,124.0,0
203,0,7,NS_GREEN,7,131.0,0
204,0,7,NS_GREEN,7,138.0,0
205,0,7,NS_GREEN,7,145.0,0
206,0,7,NS_GREEN,7,152.0,0
207,0,7,NS_GREEN,7,159.0,0
208,0,7,NS_GREEN,7,166.0,0
209,0,7,NS_GREEN,7,173.0,0
210,0,7,EW_GREEN,7,180.0,0
211,0,5,EW_GREEN,7,129.0,0
212,0,3,EW_GREEN,7,77.0,0
213,0,1,EW_GREEN,7,26.0,0
214,0,0,EW_GREEN,7,0.0,0
215,0,0,EW_GREEN,8,0.0,0
216,0,0,EW_GREEN,8,0.0,0
217,0,0,EW_GREEN,8,0.0,0
218,0,0,EW_GREEN,9,0.0,0
219,0,0,EW_GREEN,10,0.0,0
220,0,0,EW_GREEN,9,0.0,1
221,0,0,EW_GREEN,8,0.0,1
222,0,0,EW_GREEN,10,0.0,0
223,0,0,EW_GREEN,9,0.0,1
224,0,0,EW_GREEN,8,0.0,1
225,0,0,EW_GREEN,9,0.0,1
226,0,0,EW_GREEN,8,0.0,1
227,0,0,EW_GREEN,9,0.0,0
228,0,0,EW_GREEN,8,0.0,2
229,0,0,EW_GREEN,9,0.0,0
230,0,0,EW_GREEN,8,0.0,2
231,0,0,EW_GREEN,8,0.0,1
232,0,0,EW_GREEN,8,0.0,1
233,0,0,EW_GREEN,8,0.0,1
234,0,0,EW_GREEN,8,0.0,1
235,0,0,EW_GREEN,8,0.0,1
236,0,0,EW_GREEN,7,0.0,1
237,0,0,EW_GREEN,6,0.0,2
238,0,0,EW_GREEN,6,0.0,0
239,0,0,EW_GREEN,5,0.0,2
240,0,0,NS_GREEN,5,0.0,0
241,0,0,NS_GREEN,3,0.0,2
242,0,0,NS_GREEN,2,0.0,1
243,0,0,NS_GREEN,2,0.0,0
244,0,1,NS_GREEN,1,1.0,1
245,0,1,NS_GREEN,1,2.0,0
246,0,1,NS_GREEN,1,3.0,0
247,0,1,NS_GREEN,1,4.0,0
248,0,1,NS_GREEN,1,5.0,0
249,0,1,NS_GREEN,1,6.0,0
250,0,1,NS_GREEN,1,7.0,0
251,0,1,NS_GREEN,1,8.0,0
252,0,1,NS_GREEN,1,9.0,0
253,0,1,NS_GREEN,1,10.0,0
254,0,1,NS_GREEN,1,11.0,0
255,0,1,NS_GREEN,1,12.0,0
256,0,1,NS_GREEN,1,13.0,0
257,0,1,NS_GREEN,1,14.0,0
258,0,1,NS_GREEN,1,15.0,0
259,0,1,NS_GREEN,1,16.0,0
260,0,1,NS_GREEN,1,17.0,0
261,0,1,NS_GREEN,1,18.0,0
262,0,1,NS_GREEN,1,19.0,0
263,0,1,NS_GREEN,1,20.0,0
264,0,1,NS_GREEN,1,21.0,0
265,0,1,NS_GREEN,1,22.0,0
266,0,1,NS_GREEN,1,23.0,0
267,0,1,NS_GREEN,1,24.0,0
268,0,1,NS_GREEN,1,25.0,0
269,0,1,NS_GREEN,1,26.0,0
270,0,1,EW_GREEN,1,27.0,0
271,0,0,EW_GREEN,1,0.0,0
272,0,0,EW_GREEN,1,0.0,0
273,0,0,EW_GREEN,1,0.0,0
274,0,0,EW_GREEN,1,0.0,0
275,0,0,EW_GREEN,1,0.0,0
276,0,0,EW_GREEN,1,0.0,0
277,0,0,EW_GREEN,1,0.0,0
278,0,0,EW_GREEN,1,0.0,0
279,0,0,EW_GREEN,1,0.0,0
280,0,0,EW_GREEN,0,0,1
281,0,0,EW_GREEN,0,0,0
282,0,0,EW_GREEN,0,0,0
283,0,0,EW_GREEN,0,0,0
284,0,0,EW_GREEN,0,0,0
285,0,0,EW_GREEN,0,0,0
286,0,0,EW_GREEN,0,0,0
287,0,0,EW_GREEN,0,0,0
288,0,0,EW_GREEN,0,0,0
289,0,0,EW_GREEN,0,0,0
290,0,0,EW_GREEN,0,0,0
291,0,0,EW_GREEN,0,0,0
292,0,0,EW_GREEN,0,0,0
293,0,0,EW_GREEN,0,0,0
294,0,0,EW_GREEN,0,0,0
295,0,0,EW_GREEN,0,0,0
296,0,0,EW_GREEN,0,0,0
297,0,0,EW_GREEN,0,0,0
298,0,0,EW_GREEN,0,0,0
299,0,0,EW_GREEN,0,0,0
300,0,0,NS_GREEN,0,0,0
301,0,0,NS_GREEN,0,0,0
302,0,0,NS_GREEN,0,0,0
303,0,0,NS_GREEN,0,0,0
304,0,0,NS_GREEN,0,0,0
305,0,0,NS_GREEN,0,0,0
306,0,0,NS_GREEN,0,0,0
307,0,0,NS_GREEN,0,0,0
308,0,0,NS_GREEN,0,0,0
309,0,0,NS_GREEN,0,0,0
310,0,0,NS_GREEN,0,0,0
311,0,0,NS_GREEN,0,0,0
312,0,0,NS_GREEN,0,0,0
313,0,0,NS_GREEN,0,0,0
314,0,0,NS_GREEN,0,0,0
315,0,0,NS_GREEN,0,0,0
316,0,0,NS_GREEN,0,0,0
317,0,0,NS_GREEN,0,0,0
318,0,0,NS_GREEN,0,0,0
319,0,0,NS_GREEN,0,0,0
320,0,0,NS_GREEN,0,0,0
321,0,0,NS_GREEN,0,0,0
322,0,0,NS_GREEN,0,0,0
323,0,0,NS_GREEN,0,0,0
324,0,0,NS_GREEN,0,0,0
325,0,0,NS_GREEN,0,0,0
326,0,0,NS_GREEN,0,0,0
327,0,0,NS_GREEN,0,0,0
328,0,0,NS_GREEN,0,0,0
329,0,0,NS_GREEN,0,0,0
330,0,0,EW_GREEN,0,0,0
331,0,0,EW_GREEN,0,0,0
332,0,0,EW_GREEN,0,0,0
333,0,0,EW_GREEN,0,0,0
334,0,0,EW_GREEN,0,0,0
335,0,0,EW_GREEN,0,0,0
336,0,0,EW_GREEN,0,0,0
337,0,0,EW_GREEN,0,0,0
338,0,0,EW_GREEN,0,0,0
339,0,0,EW_GREEN,0,0,0
340,0,0,EW_GREEN,0,0,0
341,0,0,EW_GREEN,0,0,0
342,0,0,EW_GREEN,0,0,0
343,0,0,EW_GREEN,0,0,0
344,0,0,EW_GREEN,0,0,0
345,0,0,EW_GREEN,0,0,0
346,0,0,EW_GREEN,0,0,0
347,0,0,EW_GREEN,0,0,0
348,0,0,EW_GREEN,0,0,0
349,0,0,EW_GREEN,0,0,0
350,0,0,EW_GREEN,0,0,0
351,0,0,EW_GREEN,0,0,0
352,0,0,EW_GREEN,0,0,0
353,0,0,EW_GREEN,0,0,0
354,0,0,EW_GREEN,0,0,0
355,0,0,EW_GREEN,0,0,0
356,0,0,EW_GREEN,0,0,0
357,0,0,EW_GREEN,0,0,0
358,0,0,EW_GREEN,0,0,0
359,0,0,EW_GREEN,0,0,0
360,0,0,NS_GREEN,0,0,0
361,0,0,NS_GREEN,0,0,0
362,0,0,NS_GREEN,0,0,0
363,0,0,NS_GREEN,0,0,0
364,0,0,NS_GREEN,0,0,0
365,0,0,NS_GREEN,0,0,0
366,0,0,NS_GREEN,0,0,0
367,0,0,NS_GREEN,0,0,0
368,0,0,NS_GREEN,0,0,0
369,0,0,NS_GREEN,0,0,0
370,0,0,NS_GREEN,0,0,0
371,0,0,NS_GREEN,0,0,0
372,0,0,NS_GREEN,0,0,0
373,0,0,NS_GREEN,0,0,0
374,0,0,NS_GREEN,0,0,0
375,0,0,NS_GREEN,0,0,0
376,0,0,NS_GREEN,0,0,0
377,0,0,NS_GREEN,0,0,0
378,0,0,NS_GREEN,0,0,0
379,0,0,NS_GREEN,0,0,0
380,0,0,NS_GREEN,0,0,0
381,0,0,NS_GREEN,0,0,0
382,0,0,NS_GREEN,0,0,0
383,0,0,NS_GREEN,0,0,0
384,0,0,NS_GREEN,0,0,0
385,0,0,NS_GREEN,0,0,0
386,0,0,NS_GREEN,0,0,0
387,0,0,NS_GREEN,0,0,0
388,0,0,NS_GREEN,0,0,0
389,0,0,NS_GREEN,0,0,0
390,0,0,EW_GREEN,0,0,0
391,0,0,EW_GREEN,0,0,0
392,0,0,EW_GREEN,0,0,0
393,0,0,EW_GREEN,0,0,0
