step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
46,0,3,4,7,0.0,10.0,4.8,20.9,7.8,26.27,0.6,1.07,EW,MEDIUM,1,15,10.0,0
47,0,1,4,5,0.0,3.0,4.8,10.1,4.8,10.1,0.0,-4.75,EW,LIGHT,2,13,3.0,2
48,1,0,5,5,1.0,0.0,9.7,6.0,18.82,6.0,1.82,-5.1,EW,VERY_LIGHT,3,13,1.0,1
49,2,0,6,5,3.0,0.0,14.8,6.0,30.3,6.0,3.1,-7.4,EW,VERY_LIGHT,4,13,3.0,1
50,2,0,6,6,5.0,0.0,15.2,7.2,28.2,7.2,2.6,-3.42,EW,VERY_LIGHT,5,14,5.0,0
51,2,0,6,4,7.0,0.0,15.6,4.8,29.1,4.8,2.7,-1.32,EW,VERY_LIGHT,6,14,7.0,0
52,4,0,6,4,11.0,0.0,23.4,4.8,40.52,4.8,3.42,-0.3,EW,VERY_LIGHT,7,14,11.0,0
53,5,0,6,4,16.0,0.0,27.9,4.8,44.27,4.8,3.27,-0.3,EW,VERY_LIGHT,8,14,16.0,0
54,6,0,6,3,22.0,0.0,32.6,3.6,54.35,3.6,4.35,-0.9,EW,VERY_LIGHT,9,15,22.0,0
55,6,0,6,3,28.0,0.0,33.8,3.6,56.55,3.6,4.55,-0.3,EW,VERY_LIGHT,10,15,28.0,0
56,6,0,6,2,34.0,0.0,35.0,2.4,49.5,2.4,2.9,-0.6,EW,VERY_LIGHT,11,13,34.0,2
57,6,0,6,2,40.0,0.0,36.2,2.4,46.58,2.4,2.08,-0.6,EW,VERY_LIGHT,12,14,40.0,0
58,6,0,6,3,46.0,0.0,37.4,3.6,43.4,3.6,1.2,0.0,EW,VERY_LIGHT,13,13,46.0,2
