step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
67,3,1,8,1,8.0,4.0,21.7,5.5,EW,VERY_LIGHT,5,13,12.0,1
68,6,1,8,1,11.0,5.0,32.8,5.7,EW,VERY_LIGHT,6,13,16.0,0
69,6,0,8,0,16.0,0,33.8,0.0,EW,EMPTY,7,12,16.0,1
70,6,0,8,0,22.0,0,35.0,0.0,EW,EMPTY,8,12,22.0,0
71,7,0,8,0,29.0,0,39.9,0.0,EW,EMPTY,9,12,29.0,0
72,7,0,8,0,36.0,0,41.3,0.0,EW,EMPTY,10,11,36.0,1
73,8,0,8,0,44.0,0,46.4,0.0,EW,EMPTY,11,11,44.0,0
74,8,0,8,0,52.0,0,48.0,0.0,EW,EMPTY,12,11,52.0,0
75,8,0,8,0,60.0,0,49.6,0.0,EW,EMPTY,13,11,60.0,0
76,8,0,8,0,68.0,0,51.2,0.0,EW,EMPTY,14,10,68.0,1
77,8,0,8,0,76.0,0,52.8,0.0,NS,HEAVY,0,9,76.0,1
78,4,0,8,0,38.0,0,31.2,0.0,NS,MEDIUM,1,9,38.0,0
79,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,2,9,0.0,0
80,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,3,8,0.0,1
81,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,4,10,0.0,0
82,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,5,10,0.0,0
83,0,0,5,0,0.0,0,6.0,0.0,NS,VERY_LIGHT,6,11,2.0,0
84,1,0,6,4,1.0,0.0,10.9,4.8,NS,LIGHT,7,16,5.0,0
85,2,0,6,4,3.0,0.0,14.8,4.8,NS,LIGHT,8,16,9.0,0
86,3,0,4,6,6.0,0.0,16.5,7.2,NS,LIGHT,9,18,14.0,0
87,4,0,6,6,10.0,0.0,23.2,7.2,NS,MEDIUM,10,18,20.0,2
88,4,3,6,6,14.0,3.0,24.0,18.3,NS,MEDIUM,11,18,29.0,0
89,4,5,4,6,18.0,8.0,22.4,26.3,NS,MEDIUM,12,17,40.0,1
90,5,6,6,6,22.0,14.0,29.1,31.0,NS,MEDIUM,13,18,44.0,1
91,2,6,6,6,13.0,20.0,16.8,32.2,NS,LIGHT,14,17,42.0,1
92,2,6,6,6,15.0,26.0,17.2,33.4,EW,MEDIUM,0,16,51.0,1
93,3,2,6,6,18.0,9.0,21.3,16.0,EW,LIGHT,1,14,27.0,2
94,2,0,7,2,10.0,0.0,17.4,2.4,EW,VERY_LIGHT,2,15,10.0,0
95,2,0,8,2,4.0,0.0,17.4,2.4,EW,VERY_LIGHT,3,16,4.0,0
96,3,0,8,2,7.0,0.0,21.5,2.4,EW,VERY_LIGHT,4,16,7.0,0
97,5,0,8,2,12.0,0.0,29.5,2.4,EW,VERY_LIGHT,5,16,12.0,0
98,5,0,8,1,17.0,0.0,30.5,1.2,EW,VERY_LIGHT,6,16,18.0,0
99,8,0,8,0,25.0,0,42.6,0.0,EW,EMPTY,7,15,28.0,1
100,8,0,8,0,33.0,0,44.2,0.0,EW,EMPTY,8,15,35.0,0
101,8,0,8,0,41.0,0,45.8,0.0,EW,EMPTY,9,15,44.0,0
102,8,0,8,0,49.0,0,47.4,0.0,EW,EMPTY,10,14,49.0,1
103,8,0,8,0,57.0,0,49.0,0.0,EW,EMPTY,11,13,57.0,1
104,8,0,8,0,65.0,0,50.6,0.0,EW,EMPTY,12,12,65.0,1
105,8,0,8,0,73.0,0,52.2,0.0,EW,EMPTY,13,10,73.0,2
106,8,0,8,0,81.0,0,53.8,0.0,EW,EMPTY,14,10,81.0,0
107,8,0,8,0,89.0,0,55.4,0.0,NS,HEAVY,0,10,89.0,0
108,4,0,8,0,44.0,0,32.4,0.0,NS,MEDIUM,1,10,44.0,0
109,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,2,9,0.0,1
110,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,3,9,0.0,0
