step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
67,0,0,1,3,0.0,0.0,1.2,3.6,NS,VERY_LIGHT,7,10,0.0,0
68,0,2,1,3,0.0,2.0,1.2,11.0,NS,VERY_LIGHT,8,10,3.0,0
69,0,2,0,3,0,4.0,0.0,11.4,NS,EMPTY,9,9,6.0,1
70,0,3,0,3,0,7.0,0.0,15.5,NS,EMPTY,10,7,7.0,2
71,0,3,0,3,0,10.0,0.0,16.1,NS,EMPTY,11,6,10.0,1
72,0,3,0,3,0,13.0,0.0,16.7,NS,EMPTY,12,5,13.0,1
73,0,3,1,3,0.0,16.0,1.2,17.3,NS,VERY_LIGHT,13,6,16.0,0
74,0,3,1,3,0.0,19.0,1.2,17.9,NS,VERY_LIGHT,14,5,19.0,1
75,0,3,0,4,0,22.0,0.0,19.7,EW,LIGHT,0,6,22.0,0
76,0,1,0,4,0,7.0,0.0,9.7,EW,LIGHT,1,6,7.0,0
77,0,0,2,2,0.0,0.0,2.4,2.4,EW,VERY_LIGHT,2,8,0.0,0
78,0,0,2,1,0.0,0.0,2.4,1.2,EW,VERY_LIGHT,3,8,0.0,0
79,0,0,2,1,0.0,0.0,2.4,1.2,EW,VERY_LIGHT,4,6,0.0,2
80,2,0,3,1,1.0,0.0,10.8,1.2,EW,VERY_LIGHT,5,7,2.0,0
81,2,0,3,0,3.0,0,11.2,0.0,EW,EMPTY,6,7,3.0,0
82,2,0,3,0,5.0,0,11.6,0.0,EW,EMPTY,7,7,5.0,0
83,3,0,3,0,8.0,0,15.7,0.0,EW,EMPTY,8,6,8.0,1
84,3,0,4,1,11.0,0.0,17.5,1.2,EW,VERY_LIGHT,9,8,11.0,0
85,3,0,4,1,14.0,0.0,18.1,1.2,EW,VERY_LIGHT,10,8,14.0,0
86,3,0,4,0,17.0,0,18.7,0.0,EW,EMPTY,11,6,17.0,2
87,3,0,4,0,20.0,0,19.3,0.0,EW,EMPTY,12,6,20.0,0
88,3,0,4,0,23.0,0,19.9,0.0,EW,EMPTY,13,6,23.0,0
89,4,0,4,0,27.0,0,24.2,0.0,EW,EMPTY,14,6,27.0,0
90,5,0,5,0,31.0,0,29.7,0.0,NS,MEDIUM,0,6,31.0,1
91,1,0,5,0,9.0,0,11.3,0.0,NS,LIGHT,1,5,9.0,1
92,0,0,2,0,0.0,0,2.4,0.0,NS,VERY_LIGHT,2,5,0.0,0
93,0,0,2,1,0.0,0.0,2.4,1.2,NS,VERY_LIGHT,3,6,0.0,0
94,0,0,4,1,0.0,0.0,4.8,1.2,NS,VERY_LIGHT,4,8,0.0,0
95,0,0,4,1,0.0,0.0,4.8,1.2,NS,VERY_LIGHT,5,8,1.0,0
96,0,0,1,1,0.0,0.0,1.2,1.2,NS,VERY_LIGHT,6,8,2.0,0
97,1,1,2,1,1.0,1.0,6.1,4.9,NS,VERY_LIGHT,7,9,5.0,0
98,1,1,2,1,2.0,2.0,6.3,5.1,NS,VERY_LIGHT,8,9,8.0,0
99,0,1,1,1,0.0,3.0,1.2,5.3,NS,VERY_LIGHT,9,9,8.0,0
100,0,1,1,1,0.0,4.0,1.2,5.5,NS,VERY_LIGHT,10,8,4.0,1
101,0,1,0,1,0,5.0,0.0,5.7,NS,EMPTY,11,7,5.0,1
102,0,1,0,1,0,6.0,0.0,5.9,NS,EMPTY,12,5,6.0,2
103,0,1,1,1,0.0,7.0,1.2,6.1,NS,VERY_LIGHT,13,6,7.0,0
104,0,1,1,1,0.0,8.0,1.2,6.3,NS,VERY_LIGHT,14,4,8.0,2
105,0,1,1,2,0.0,9.0,1.2,7.7,EW,VERY_LIGHT,0,6,9.0,0
106,0,0,1,2,0.0,0.0,1.2,2.4,EW,VERY_LIGHT,1,6,0.0,0
107,0,0,1,1,0.0,0.0,1.2,1.2,EW,VERY_LIGHT,2,6,0.0,0
108,0,0,1,0,0.0,0,1.2,0.0,EW,EMPTY,3,5,0.0,1
109,1,0,1,0,1.0,0,4.9,0.0,EW,EMPTY,4,4,2.0,1
110,1,0,1,0,2.0,0,5.1,0.0,EW,EMPTY,5,4,2.0,0
111,1,0,1,0,3.0,0,5.3,0.0,EW,EMPTY,6,3,3.0,1
112,1,0,1,2,4.0,0.0,5.5,2.4,EW,VERY_LIGHT,7,5,4.0,0
113,1,0,1,2,5.0,0.0,5.7,2.4,EW,VERY_LIGHT,8,5,5.0,0
114,1,0,1,1,6.0,0.0,5.9,1.2,EW,VERY_LIGHT,9,6,6.0,0
115,1,0,2,1,7.0,0.0,7.3,1.2,EW,VERY_LIGHT,10,7,7.0,0
