step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
65,0,2,4,4,0.0,5.0,4.8,12.8,NS,VERY_LIGHT,5,10,5.0,0
66,0,2,2,4,0.0,7.0,2.4,13.2,NS,VERY_LIGHT,6,10,7.0,0
67,0,2,3,5,0.0,9.0,3.6,14.8,NS,VERY_LIGHT,7,12,9.0,0
68,0,3,3,5,0.0,12.0,3.6,18.9,NS,VERY_LIGHT,8,12,12.0,0
69,0,4,2,5,0.0,16.0,2.4,23.2,NS,VERY_LIGHT,9,12,16.0,0
70,0,4,2,5,0.0,20.0,2.4,24.0,NS,VERY_LIGHT,10,11,20.0,2
71,0,4,1,5,0.0,24.0,1.2,24.8,NS,VERY_LIGHT,11,11,24.0,0
72,0,5,1,5,0.0,29.0,1.2,29.3,NS,VERY_LIGHT,12,10,29.0,1
73,0,5,2,5,0.0,34.0,2.4,30.3,NS,VERY_LIGHT,13,10,34.0,1
74,0,5,1,5,0.0,39.0,1.2,31.3,NS,VERY_LIGHT,14,10,39.0,0
75,0,6,1,6,0.0,44.0,1.2,37.0,EW,MEDIUM,0,9,44.0,2
76,0,3,2,6,0.0,26.0,2.4,22.9,EW,MEDIUM,1,10,26.0,0
77,0,1,3,4,0.0,6.0,3.6,9.5,EW,LIGHT,2,10,6.0,1
78,1,0,3,4,1.0,0.0,7.3,4.8,EW,VERY_LIGHT,3,10,1.0,0
79,1,0,4,4,2.0,0.0,8.7,4.8,EW,VERY_LIGHT,4,11,2.0,0
80,2,0,4,4,4.0,0.0,12.6,4.8,EW,VERY_LIGHT,5,10,5.0,1
81,2,0,5,3,6.0,0.0,14.2,3.6,EW,VERY_LIGHT,6,11,8.0,0
82,3,1,5,3,9.0,1.0,18.3,7.3,EW,VERY_LIGHT,7,11,13.0,0
83,4,1,5,3,13.0,2.0,22.6,7.5,EW,VERY_LIGHT,8,11,19.0,0
84,5,2,6,3,17.0,4.0,28.1,11.4,EW,LIGHT,9,13,26.0,0
85,5,2,6,3,22.0,6.0,29.1,11.8,EW,LIGHT,10,13,34.0,0
86,5,2,6,3,27.0,8.0,30.1,12.2,EW,LIGHT,11,12,42.0,1
87,5,2,6,2,32.0,10.0,31.1,11.4,EW,LIGHT,12,11,50.0,1
88,6,2,6,2,38.0,12.0,35.8,11.8,EW,LIGHT,13,11,59.0,0
89,6,2,6,2,44.0,14.0,37.0,12.2,EW,LIGHT,14,10,58.0,1
90,6,1,6,2,50.0,7.0,38.2,7.3,NS,MEDIUM,0,10,57.0,0
91,4,0,6,2,32.0,0.0,27.6,2.4,NS,MEDIUM,1,9,32.0,1
92,2,0,4,2,13.0,0.0,14.4,2.4,NS,LIGHT,2,9,13.0,0
93,0,0,4,3,0.0,0.0,4.8,3.6,NS,VERY_LIGHT,3,10,0.0,0
94,0,1,4,3,0.0,1.0,4.8,7.3,NS,VERY_LIGHT,4,10,1.0,0
95,0,1,4,3,0.0,2.0,4.8,7.5,NS,VERY_LIGHT,5,10,2.0,0
96,0,2,3,3,0.0,4.0,3.6,11.4,NS,VERY_LIGHT,6,10,4.0,0
97,0,2,4,3,0.0,6.0,4.8,11.8,NS,VERY_LIGHT,7,12,6.0,0
98,0,2,4,3,0.0,8.0,4.8,12.2,NS,VERY_LIGHT,8,11,8.0,1
99,0,3,3,3,0.0,11.0,3.6,16.3,NS,VERY_LIGHT,9,11,11.0,0
100,0,3,3,3,0.0,14.0,3.6,16.9,NS,VERY_LIGHT,10,10,14.0,1
101,0,3,4,3,0.0,17.0,4.8,17.5,NS,VERY_LIGHT,11,11,18.0,0
102,1,3,3,3,1.0,20.0,7.3,18.1,NS,VERY_LIGHT,12,9,23.0,2
103,1,3,4,3,2.0,23.0,8.7,18.7,NS,LIGHT,13,10,28.0,0
104,2,3,3,3,4.0,26.0,11.4,19.3,NS,LIGHT,14,10,34.0,0
105,2,3,4,4,6.0,29.0,13.0,21.1,EW,MEDIUM,0,11,40.0,1
106,3,2,4,4,9.0,19.0,17.1,15.6,EW,LIGHT,1,11,28.0,0
107,2,1,5,3,6.0,9.0,14.2,8.9,EW,LIGHT,2,11,15.0,1
108,1,0,5,3,3.0,0.0,10.1,3.6,EW,VERY_LIGHT,3,11,3.0,0
109,1,0,5,2,1.0,0.0,9.7,2.4,EW,VERY_LIGHT,4,11,1.0,0
110,2,0,5,2,3.0,0.0,13.6,2.4,EW,VERY_LIGHT,5,10,3.0,1
111,3,0,5,1,6.0,0.0,17.7,1.2,EW,VERY_LIGHT,6,10,6.0,0
112,3,0,5,2,9.0,0.0,18.3,2.4,EW,VERY_LIGHT,7,11,9.0,0
113,4,0,5,2,13.0,0.0,22.6,2.4,EW,VERY_LIGHT,8,11,13.0,0
114,5,0,5,1,18.0,0.0,27.1,1.2,EW,VERY_LIGHT,9,11,18.0,0
115,6,0,6,2,23.0,0.0,32.8,2.4,EW,VERY_LIGHT,10,11,23.0,2
116,5,0,6,2,28.0,0.0,30.3,2.4,EW,VERY_LIGHT,11,11,28.0,0
117,5,0,6,1,33.0,0.0,31.3,1.2,EW,VERY_LIGHT,12,10,33.0,1
118,5,0,6,2,38.0,0.0,32.3,2.4,EW,VERY_LIGHT,13,10,38.0,1
119,5,0,6,1,43.0,0.0,33.3,1.2,EW,VERY_LIGHT,14,10,43.0,0
