step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
143,0,7,NS_GREEN,15,109.0,0
144,0,7,NS_GREEN,15,116.0,0
145,0,7,NS_GREEN,15,123.0,0
146,0,7,NS_GREEN,15,130.0,0
147,0,7,NS_GREEN,15,137.0,0
148,0,7,NS_GREEN,14,144.0,1
149,0,7,NS_GREEN,14,151.0,1
150,0,7,EW_GREEN,15,158.0,0
151,0,5,EW_GREEN,15,114.0,0
152,0,3,EW_GREEN,15,70.0,1
153,1,1,EW_GREEN,16,27.0,0
154,3,0,EW_GREEN,15,4.0,1
155,4,0,EW_GREEN,15,8.0,1
156,5,0,EW_GREEN,14,13.0,1
157,6,0,EW_GREEN,14,19.0,0
158,6,0,EW_GREEN,14,25.0,0
159,6,0,EW_GREEN,14,31.0,0
160,6,0,EW_GREEN,14,37.0,0
161,6,0,EW_GREEN,14,44.0,1
162,6,0,EW_GREEN,13,51.0,1
163,6,1,EW_GREEN,13,59.0,0
164,6,2,EW_GREEN,14,68.0,0
165,6,2,EW_GREEN,13,77.0,1
166,6,2,EW_GREEN,13,86.0,0
167,6,3,EW_GREEN,14,95.0,1
168,6,2,EW_GREEN,14,104.0,0
169,6,2,EW_GREEN,14,114.0,1
170,6,2,EW_GREEN,14,124.0,0
171,6,3,EW_GREEN,14,124.0,0
172,6,4,EW_GREEN,14,126.0,0
173,6,3,EW_GREEN,14,127.0,0
174,6,3,EW_GREEN,14,134.0,0
175,6,3,EW_GREEN,14,144.0,0
176,6,3,EW_GREEN,14,154.0,0
177,6,3,EW_GREEN,14,164.0,0
178,6,3,EW_GREEN,14,174.0,0
179,6,3,EW_GREEN,14,184.0,0
180,6,3,NS_GREEN,13,194.0,1
181,4,3,NS_GREEN,13,147.0,0
182,2,4,NS_GREEN,12,85.0,1
183,1,3,NS_GREEN,12,25.0,0
184,1,2,NS_GREEN,12,16.0,0
185,2,1,NS_GREEN,11,7.0,1
186,2,2,NS_GREEN,11,11.0,0
187,1,2,NS_GREEN,12,10.0,0
188,1,4,NS_GREEN,13,12.0,0
189,0,3,NS_GREEN,13,14.0,0
190,0,4,NS_GREEN,14,18.0,0
191,0,5,NS_GREEN,14,23.0,1
192,0,5,NS_GREEN,14,28.0,0
193,0,5,NS_GREEN,16,33.0,0
194,0,5,NS_GREEN,15,38.0,1
195,0,5,NS_GREEN,15,44.0,0
196,0,6,NS_GREEN,15,51.0,2
197,1,7,NS_GREEN,15,60.0,0
198,1,7,NS_GREEN,15,69.0,0
199,2,7,NS_GREEN,15,79.0,1
200,2,7,NS_GREEN,15,89.0,0
201,3,7,NS_GREEN,15,100.0,0
202,3,7,NS_GREEN,15,111.0,1
203,3,7,NS_GREEN,14,122.0,1
204,3,7,NS_GREEN,15,133.0,0
205,3,7,NS_GREEN,14,144.0,1
206,3,7,NS_GREEN,15,155.0,0
207,3,7,NS_GREEN,14,166.0,1
208,3,7,NS_GREEN,15,177.0,0
209,3,7,NS_GREEN,14,188.0,1
210,3,7,EW_GREEN,14,199.0,0
211,3,5,EW_GREEN,15,137.0,0
212,2,4,EW_GREEN,15,88.0,0
213,1,2,EW_GREEN,15,38.0,1
214,0,1,EW_GREEN,14,1.0,1
215,1,0,EW_GREEN,14,1.0,0
216,2,0,EW_GREEN,14,3.0,0
217,3,0,EW_GREEN,15,6.0,0
218,5,0,EW_GREEN,15,11.0,0
219,6,0,EW_GREEN,16,17.0,0
220,6,0,EW_GREEN,15,23.0,1
221,6,0,EW_GREEN,15,29.0,1
222,6,0,EW_GREEN,16,35.0,0
223,6,0,EW_GREEN,14,41.0,2
224,6,0,EW_GREEN,14,48.0,0
225,6,1,EW_GREEN,13,56.0,2
226,6,1,EW_GREEN,13,64.0,0
227,6,2,EW_GREEN,13,74.0,1
228,6,2,EW_GREEN,13,84.0,0
229,6,3,EW_GREEN,13,89.0,0
230,6,2,EW_GREEN,14,93.0,0
231,6,2,EW_GREEN,14,98.0,0
232,6,3,EW_GREEN,14,108.0,0
233,6,3,EW_GREEN,14,118.0,0
234,6,3,EW_GREEN,14,128.0,0
235,6,3,EW_GREEN,14,138.0,0
236,6,3,EW_GREEN,14,148.0,0
237,6,3,EW_GREEN,14,158.0,0
238,6,3,EW_GREEN,13,168.0,1
239,6,3,EW_GREEN,13,178.0,0
240,6,3,NS_GREEN,12,188.0,1
241,4,3,NS_GREEN,12,145.0,0
242,2,3,NS_GREEN,12,102.0,0
243,0,3,NS_GREEN,11,40.0,1
244,0,2,NS_GREEN,11,28.0,0
245,0,1,NS_GREEN,11,16.0,0
246,0,0,NS_GREEN,11,3.0,1
247,1,0,NS_GREEN,11,5.0,0
248,1,1,NS_GREEN,12,3.0,0
249,1,2,NS_GREEN,11,4.0,1
250,0,2,NS_GREEN,13,5.0,0
251,0,3,NS_GREEN,12,8.0,1
252,0,3,NS_GREEN,14,11.0,0
253,0,4,NS_GREEN,14,15.0,1
254,0,4,NS_GREEN,15,19.0,0
255,0,4,NS_GREEN,14,23.0,1
256,0,5,NS_GREEN,15,28.0,0
257,0,6,NS_GREEN,14,35.0,2
258,1,7,NS_GREEN,14,44.0,0
259,1,7,NS_GREEN,15,53.0,0
260,1,7,NS_GREEN,15,62.0,1
261,2,7,NS_GREEN,15,72.0,0
262,3,7,NS_GREEN,14,83.0,1
263,3,7,NS_GREEN,15,94.0,0
264,3,7,NS_GREEN,14,105.0,1
265,3,7,NS_GREEN,14,116.0,0
266,3,7,NS_GREEN,15,127.0,0
267,3,7,NS_GREEN,14,138.0,1
268,3,7,NS_GREEN,14,149.0,1
269,3,7,NS_GREEN,14,160.0,0
270,3,7,EW_GREEN,14,171.0,1
271,4,5,EW_GREEN,15,143.0,0
272,4,3,EW_GREEN,16,97.0,0
273,4,2,EW_GREEN,15,51.0,1
274,3,2,EW_GREEN,15,22.0,0
275,2,2,EW_GREEN,14,11.0,1
276,3,1,EW_GREEN,14,13.0,0
277,3,0,EW_GREEN,14,14.0,0
278,4,0,EW_GREEN,14,18.0,0
279,5,0,EW_GREEN,15,23.0,0
280,6,0,EW_GREEN,15,29.0,1
281,6,0,EW_GREEN,14,35.0,1
282,6,0,EW_GREEN,14,42.0,0
283,6,0,EW_GREEN,15,49.0,0
284,6,0,EW_GREEN,14,56.0,1
285,6,0,EW_GREEN,13,63.0,1
286,6,1,EW_GREEN,13,71.0,1
287,6,1,EW_GREEN,13,80.0,0
288,6,2,EW_GREEN,13,90.0,1
289,6,3,EW_GREEN,13,93.0,0
290,6,2,EW_GREEN,13,98.0,0
291,6,2,EW_GREEN,13,104.0,0
292,6,2,EW_GREEN,14,113.0,0
293,6,3,EW_GREEN,14,123.0,0
