step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
185,3,0,EW,14,6.0,0
186,4,0,EW,14,10.0,0
187,6,0,EW,14,16.0,0
188,6,0,EW,14,22.0,0
189,6,0,EW,15,28.0,0
190,6,0,EW,16,34.0,0
191,6,0,EW,14,40.0,2
192,6,0,EW,15,46.0,0
193,6,0,EW,15,52.0,1
194,6,0,EW,14,58.0,1
195,6,0,EW,14,64.0,1
196,6,0,EW,14,70.0,1
197,6,0,EW,14,76.0,0
198,6,0,EW,14,82.0,2
199,6,0,EW,14,88.0,0
200,6,0,NS,14,94.0,2
201,4,0,NS,15,63.0,0
202,2,1,NS,14,33.0,2
203,0,2,NS,14,3.0,0
204,0,4,NS,12,7.0,2
205,0,4,NS,13,11.0,0
206,0,5,NS,13,16.0,0
207,0,5,NS,13,21.0,0
208,0,6,NS,13,27.0,0
209,0,6,NS,13,33.0,0
210,0,7,NS,12,40.0,1
211,0,7,NS,11,47.0,1
212,0,7,NS,11,54.0,0
213,0,7,NS,9,61.0,2
214,0,7,NS,9,68.0,0
215,0,7,NS,7,75.0,2
216,0,7,NS,7,82.0,0
217,0,7,NS,7,89.0,0
218,0,7,NS,7,96.0,0
219,0,7,NS,7,103.0,0
220,0,7,EW,7,110.0,0
221,0,5,EW,7,79.0,0
222,0,3,EW,7,47.0,0
223,0,1,EW,7,14.0,0
224,0,0,EW,7,0.0,0
225,0,0,EW,8,0.0,0
226,0,0,EW,8,0.0,0
227,0,0,EW,8,0.0,0
228,0,0,EW,8,0.0,0
229,0,0,EW,10,0.0,0
230,0,0,EW,10,0.0,0
231,0,0,EW,8,0.0,2
232,0,0,EW,10,0.0,0
233,0,0,EW,8,0.0,2
234,0,0,EW,8,0.0,0
235,0,0,EW,8,0.0,2
236,0,0,EW,8,0.0,0
237,0,0,EW,8,0.0,1
238,0,0,EW,8,0.0,1
239,0,0,EW,7,0.0,2
240,0,0,NS,8,0.0,0
241,0,0,NS,7,0.0,2
242,0,0,NS,8,0.0,0
243,0,1,NS,7,1.0,2
244,0,2,NS,7,3.0,0
245,0,2,NS,7,5.0,1
246,0,3,NS,7,8.0,0
247,0,4,NS,7,12.0,0
248,0,6,NS,7,18.0,0
249,0,7,NS,7,25.0,0
250,0,7,NS,7,32.0,0
251,0,7,NS,7,39.0,0
252,0,7,NS,7,46.0,0
253,0,7,NS,7,53.0,0
254,0,7,NS,7,60.0,0
255,0,7,NS,7,67.0,0
256,0,7,NS,7,74.0,0
257,0,7,NS,7,81.0,0
258,0,7,NS,7,88.0,0
259,0,7,NS,7,95.0,0
260,0,7,EW,7,102.0,0
261,0,5,EW,7,72.0,0
262,0,3,EW,7,44.0,0
263,0,1,EW,7,15.0,0
264,0,0,EW,7,0.0,0
265,0,0,EW,7,0.0,0
266,0,0,EW,8,0.0,0
267,0,0,EW,8,0.0,0
268,0,0,EW,9,0.0,0
269,0,0,EW,9,0.0,0
270,0,0,EW,9,0.0,1
271,0,0,EW,9,0.0,0
272,0,0,EW,9,0.0,1
273,0,0,EW,8,0.0,1
274,0,0,EW,7,0.0,1
275,0,0,EW,7,0.0,1
276,0,0,EW,6,0.0,1
277,0,0,EW,5,0.0,1
278,0,0,EW,4,0.0,1
279,0,0,EW,3,0.0,1
280,0,0,NS,2,0.0,1
281,0,0,NS,1,0.0,1
282,0,0,NS,1,0.0,0
283,0,0,NS,0,0,1
284,0,0,NS,0,0,0
285,0,0,NS,0,0,0
286,0,0,NS,0,0,0
