step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
143,6,7,NS_GREEN,15,120.0,0
144,4,7,NS_GREEN,15,127.0,0
145,3,7,NS_GREEN,15,133.0,0
146,2,7,NS_GREEN,15,138.0,0
147,3,7,NS_GREEN,15,149.0,0
148,3,7,NS_GREEN,15,160.0,0
149,3,7,NS_GREEN,15,171.0,0
150,3,7,EW_GREEN,15,182.0,0
151,3,5,EW_GREEN,16,143.0,0
152,3,4,EW_GREEN,15,105.0,1
153,3,3,EW_GREEN,15,66.0,0
154,4,2,EW_GREEN,15,39.0,1
155,4,4,EW_GREEN,16,33.0,0
156,3,4,EW_GREEN,15,27.0,1
157,3,3,EW_GREEN,15,18.0,0
158,4,2,EW_GREEN,15,19.0,0
159,4,1,EW_GREEN,15,20.0,0
160,4,0,EW_GREEN,16,20.0,0
161,5,0,EW_GREEN,15,25.0,1
162,6,0,EW_GREEN,15,31.0,0
163,6,0,EW_GREEN,14,37.0,1
164,6,0,EW_GREEN,15,43.0,0
165,6,0,EW_GREEN,15,49.0,1
166,6,0,EW_GREEN,15,56.0,0
167,6,0,EW_GREEN,15,63.0,1
168,6,1,EW_GREEN,14,71.0,1
169,6,2,EW_GREEN,15,81.0,0
170,6,3,EW_GREEN,14,92.0,1
171,6,4,EW_GREEN,14,98.0,0
172,6,3,EW_GREEN,14,104.0,0
173,6,3,EW_GREEN,14,110.0,0
174,6,2,EW_GREEN,14,116.0,0
175,6,3,EW_GREEN,14,126.0,0
176,6,3,EW_GREEN,14,136.0,0
177,6,3,EW_GREEN,14,146.0,0
178,6,3,EW_GREEN,15,156.0,0
179,6,3,EW_GREEN,15,166.0,0
180,6,3,NS_GREEN,14,176.0,1
181,4,3,NS_GREEN,14,134.0,1
182,2,4,NS_GREEN,14,79.0,0
183,0,4,NS_GREEN,14,23.0,0
184,0,4,NS_GREEN,14,16.0,0
185,0,3,NS_GREEN,13,10.0,1
186,1,3,NS_GREEN,14,15.0,0
187,1,4,NS_GREEN,15,18.0,0
188,1,4,NS_GREEN,15,21.0,0
189,0,5,NS_GREEN,14,25.0,1
190,0,6,NS_GREEN,15,31.0,0
191,0,6,NS_GREEN,15,37.0,1
192,0,7,NS_GREEN,15,44.0,0
193,0,7,NS_GREEN,15,51.0,1
194,0,7,NS_GREEN,15,58.0,0
195,0,7,NS_GREEN,15,65.0,1
196,0,7,NS_GREEN,15,72.0,1
197,0,7,NS_GREEN,14,81.0,1
198,1,7,NS_GREEN,13,91.0,1
199,2,7,NS_GREEN,14,102.0,0
200,4,7,NS_GREEN,15,110.0,0
201,3,7,NS_GREEN,15,118.0,0
202,4,7,NS_GREEN,15,129.0,0
203,3,7,NS_GREEN,15,139.0,0
204,3,7,NS_GREEN,15,150.0,0
205,3,7,NS_GREEN,15,161.0,0
206,3,7,NS_GREEN,15,172.0,0
207,3,7,NS_GREEN,15,183.0,0
208,3,7,NS_GREEN,16,194.0,0
209,3,7,NS_GREEN,15,205.0,1
210,3,7,EW_GREEN,15,216.0,0
211,3,5,EW_GREEN,15,172.0,1
212,3,4,EW_GREEN,15,128.0,0
213,4,1,EW_GREEN,15,64.0,1
214,3,2,EW_GREEN,15,32.0,0
215,3,2,EW_GREEN,14,22.0,1
216,2,2,EW_GREEN,14,10.0,0
217,3,1,EW_GREEN,14,11.0,0
218,4,0,EW_GREEN,14,13.0,0
219,5,0,EW_GREEN,15,18.0,0
220,6,0,EW_GREEN,16,24.0,0
221,6,0,EW_GREEN,15,30.0,1
222,6,0,EW_GREEN,14,36.0,1
223,6,0,EW_GREEN,15,42.0,0
224,6,0,EW_GREEN,15,48.0,1
225,6,0,EW_GREEN,15,54.0,0
226,6,0,EW_GREEN,15,60.0,1
227,6,0,EW_GREEN,15,67.0,1
228,6,0,EW_GREEN,15,74.0,1
229,6,1,EW_GREEN,14,80.0,1
230,6,1,EW_GREEN,14,87.0,0
231,6,2,EW_GREEN,14,96.0,0
232,6,2,EW_GREEN,14,105.0,0
233,6,3,EW_GREEN,14,115.0,0
234,6,3,EW_GREEN,14,125.0,0
235,6,3,EW_GREEN,14,135.0,0
236,6,3,EW_GREEN,15,145.0,0
237,6,3,EW_GREEN,15,155.0,0
238,6,3,EW_GREEN,14,165.0,1
239,6,3,EW_GREEN,15,175.0,0
240,6,3,NS_GREEN,14,185.0,1
241,4,3,NS_GREEN,14,142.0,0
242,2,3,NS_GREEN,15,84.0,0
243,0,3,NS_GREEN,14,25.0,1
244,0,3,NS_GREEN,14,16.0,0
245,0,2,NS_GREEN,13,7.0,1
246,1,2,NS_GREEN,14,11.0,0
247,1,4,NS_GREEN,15,13.0,0
248,1,5,NS_GREEN,15,17.0,0
249,0,5,NS_GREEN,15,21.0,0
250,0,6,NS_GREEN,14,27.0,2
251,0,7,NS_GREEN,15,34.0,0
252,0,7,NS_GREEN,14,41.0,1
253,0,7,NS_GREEN,15,48.0,0
254,0,7,NS_GREEN,14,56.0,1
255,0,7,NS_GREEN,14,64.0,0
256,1,7,NS_GREEN,13,73.0,2
257,1,7,NS_GREEN,13,83.0,0
258,4,7,NS_GREEN,14,95.0,0
259,3,7,NS_GREEN,15,101.0,0
260,3,7,NS_GREEN,15,108.0,0
261,3,7,NS_GREEN,15,116.0,0
262,2,7,NS_GREEN,15,124.0,0
263,3,7,NS_GREEN,15,135.0,0
264,3,7,NS_GREEN,15,146.0,0
265,3,7,NS_GREEN,15,157.0,0
266,3,7,NS_GREEN,15,168.0,0
267,3,7,NS_GREEN,16,179.0,0
268,3,7,NS_GREEN,15,190.0,1
269,3,7,NS_GREEN,15,201.0,0
270,3,7,EW_GREEN,15,212.0,1
271,3,5,EW_GREEN,15,169.0,0
272,4,3,EW_GREEN,15,109.0,0
273,3,2,EW_GREEN,15,50.0,1
274,3,2,EW_GREEN,15,19.0,0
275,2,1,EW_GREEN,14,8.0,1
276,2,1,EW_GREEN,14,9.0,0
277,4,0,EW_GREEN,14,12.0,0
278,4,0,EW_GREEN,15,16.0,0
279,5,0,EW_GREEN,16,21.0,0
280,5,0,EW_GREEN,15,26.0,1
281,5,0,EW_GREEN,14,31.0,1
282,6,0,EW_GREEN,15,38.0,0
283,6,0,EW_GREEN,16,45.0,0
284,6,0,EW_GREEN,15,52.0,1
285,6,1,EW_GREEN,14,60.0,2
286,6,2,EW_GREEN,14,70.0,0
287,6,2,EW_GREEN,14,80.0,1
288,6,3,EW_GREEN,14,84.0,0
289,6,3,EW_GREEN,14,90.0,0
290,6,3,EW_GREEN,14,96.0,0
291,6,2,EW_GREEN,14,103.0,0
292,6,3,EW_GREEN,14,113.0,0
293,6,3,EW_GREEN,14,123.0,0
294,6,3,EW_GREEN,14,133.0,0
295,6,3,EW_GREEN,15,143.0,0
296,6,3,EW_GREEN,15,153.0,0
297,6,3,EW_GREEN,14,163.0,1
298,6,3,EW_GREEN,15,173.0,0
299,6,3,EW_GREEN,14,183.0,1
300,6,3,NS_GREEN,14,193.0,0
301,4,3,NS_GREEN,15,148.0,0
302,2,3,NS_GREEN,14,103.0,1
303,0,3,NS_GREEN,15,42.0,0
304,0,3,NS_GREEN,14,30.0,1
305,0,2,NS_GREEN,14,18.0,0
306,1,2,NS_GREEN,13,8.0,1
307,2,3,NS_GREEN,14,14.0,0
308,2,4,NS_GREEN,15,16.0,0
309,1,5,NS_GREEN,15,19.0,0
310,0,6,NS_GREEN,14,22.0,1
311,0,6,NS_GREEN,14,28.0,1
312,0,7,NS_GREEN,15,35.0,0
313,0,7,NS_GREEN,14,42.0,1
314,0,7,NS_GREEN,15,50.0,0
315,1,7,NS_GREEN,15,59.0,0
316,1,7,NS_GREEN,15,68.0,1
317,3,7,NS_GREEN,15,79.0,1
318,2,7,NS_GREEN,14,90.0,1
319,4,7,NS_GREEN,15,97.0,0
320,4,7,NS_GREEN,15,104.0,0
321,3,7,NS_GREEN,15,111.0,0
322,2,7,NS_GREEN,15,118.0,0
323,3,7,NS_GREEN,15,129.0,0
324,3,7,NS_GREEN,15,140.0,0
325,3,7,NS_GREEN,15,151.0,0
326,3,7,NS_GREEN,15,162.0,0
327,3,7,NS_GREEN,16,173.0,0
328,3,7,NS_GREEN,16,184.0,0
329,3,7,NS_GREEN,15,195.0,1
330,3,7,EW_GREEN,15,206.0,1
331,3,5,EW_GREEN,15,164.0,0
332,3,3,EW_GREEN,15,122.0,0
333,3,1,EW_GREEN,15,62.0,1
334,2,0,EW_GREEN,15,28.0,0
335,2,0,EW_GREEN,15,16.0,1
336,2,0,EW_GREEN,15,6.0,0
337,2,1,EW_GREEN,15,10.0,0
338,4,2,EW_GREEN,15,17.0,0
339,5,2,EW_GREEN,15,25.0,0
340,6,3,EW_GREEN,16,35.0,0
341,6,3,EW_GREEN,15,45.0,1
342,6,3,EW_GREEN,15,55.0,0
343,6,3,EW_GREEN,15,65.0,1
344,6,3,EW_GREEN,15,75.0,0
345,6,3,EW_GREEN,14,85.0,1
346,6,3,EW_GREEN,14,95.0,1
347,6,3,EW_GREEN,14,105.0,0
348,6,3,EW_GREEN,15,116.0,0
349,6,3,EW_GREEN,14,111.0,1
350,6,3,EW_GREEN,14,108.0,0
351,6,3,EW_GREEN,14,105.0,0
352,6,2,EW_GREEN,14,102.0,0
353,6,2,EW_GREEN,14,111.0,0
354,6,3,EW_GREEN,14,121.0,0
355,6,3,EW_GREEN,14,131.0,0
356,6,3,EW_GREEN,15,141.0,0
357,6,3,EW_GREEN,14,151.0,1
358,6,3,EW_GREEN,14,161.0,0
359,6,3,EW_GREEN,14,171.0,1
360,6,3,NS_GREEN,14,181.0,0
361,4,3,NS_GREEN,14,140.0,0
362,2,3,NS_GREEN,15,82.0,0
363,0,3,NS_GREEN,14,24.0,1
364,0,3,NS_GREEN,14,14.0,0
365,0,2,NS_GREEN,13,6.0,1
366,1,2,NS_GREEN,14,10.0,0
367,1,4,NS_GREEN,15,13.0,0
368,1,4,NS_GREEN,15,16.0,0
369,0,5,NS_GREEN,15,20.0,0
370,0,6,NS_GREEN,15,26.0,1
371,0,6,NS_GREEN,15,31.0,1
372,0,7,NS_GREEN,15,38.0,0
373,0,7,NS_GREEN,15,45.0,1
374,0,7,NS_GREEN,15,53.0,0
375,0,7,NS_GREEN,14,61.0,1
376,1,7,NS_GREEN,14,70.0,1
377,3,7,NS_GREEN,15,81.0,0
