step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
65,0,5,5,5,0.0,17.0,6.0,26.9,NS,VERY_LIGHT,5,16,18.0,0
66,0,4,5,5,0.0,21.0,6.0,24.2,NS,VERY_LIGHT,6,17,23.0,0
67,0,4,6,5,0.0,25.0,7.2,25.0,NS,VERY_LIGHT,7,18,28.0,0
68,1,4,7,5,1.0,29.0,12.1,25.8,NS,LIGHT,8,19,30.0,0
69,1,4,5,5,1.0,33.0,9.7,26.6,NS,LIGHT,9,17,34.0,2
70,0,4,3,5,0.0,37.0,3.6,27.4,NS,VERY_LIGHT,10,17,37.0,0
71,0,4,6,5,0.0,41.0,7.2,28.2,NS,VERY_LIGHT,11,19,42.0,1
72,0,6,5,7,0.0,46.0,6.0,38.6,NS,VERY_LIGHT,12,20,48.0,1
73,1,5,4,7,1.0,51.0,8.5,36.1,NS,LIGHT,13,19,55.0,1
74,2,5,3,8,3.0,56.0,11.2,38.3,NS,LIGHT,14,21,63.0,0
75,2,6,4,9,5.0,61.0,12.8,44.0,EW,HEAVY,0,21,71.0,2
76,2,3,5,9,7.0,39.0,14.4,29.1,EW,MEDIUM,1,19,53.0,3
77,3,4,6,9,10.0,38.0,19.7,32.4,EW,MEDIUM,2,20,50.0,0
78,3,3,7,8,8.0,40.0,20.5,28.1,EW,MEDIUM,3,19,48.0,2
79,2,4,7,7,5.0,44.0,16.4,31.2,EW,MEDIUM,4,18,49.0,1
80,5,3,7,5,10.0,22.0,27.9,20.9,EW,MEDIUM,5,18,32.0,0
81,6,1,8,5,16.0,5.0,33.8,10.5,EW,LIGHT,6,19,21.0,0
82,7,0,8,5,23.0,0.0,38.7,6.0,EW,VERY_LIGHT,7,19,23.0,0
83,7,0,8,4,30.0,0.0,40.1,4.8,EW,VERY_LIGHT,8,19,30.0,0
84,7,0,8,4,37.0,0.0,41.5,4.8,EW,VERY_LIGHT,9,20,37.0,0
85,8,0,8,3,45.0,0.0,46.6,3.6,EW,VERY_LIGHT,10,19,45.0,1
86,8,0,8,2,53.0,0.0,48.2,2.4,EW,VERY_LIGHT,11,19,53.0,1
87,8,0,8,3,61.0,0.0,49.8,3.6,EW,VERY_LIGHT,12,19,61.0,1
88,8,0,8,3,69.0,0.0,51.4,3.6,EW,VERY_LIGHT,13,20,70.0,0
89,8,0,8,3,77.0,0.0,53.0,3.6,EW,VERY_LIGHT,14,19,79.0,1
90,8,0,8,2,85.0,0.0,54.6,2.4,NS,HEAVY,0,16,86.0,3
