step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
64,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,4,14,1.0,0
65,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,5,14,2.0,0
66,0,2,3,7,0.0,4.0,3.6,16.2,NS,VERY_LIGHT,6,15,4.0,1
67,0,4,4,7,0.0,8.0,4.8,24.0,NS,VERY_LIGHT,7,16,8.0,0
68,0,4,4,7,0.0,12.0,4.8,24.8,NS,VERY_LIGHT,8,16,12.0,0
69,0,4,2,7,0.0,16.0,2.4,25.6,NS,VERY_LIGHT,9,16,16.0,0
70,0,5,4,7,0.0,21.0,4.8,30.1,NS,VERY_LIGHT,10,16,21.0,2
71,0,5,3,7,0.0,26.0,3.6,31.1,NS,VERY_LIGHT,11,15,26.0,1
72,0,7,2,7,0.0,33.0,2.4,39.5,NS,VERY_LIGHT,12,15,33.0,0
73,0,7,4,7,0.0,40.0,4.8,40.9,NS,VERY_LIGHT,13,15,40.0,2
74,0,7,2,7,0.0,47.0,2.4,42.3,NS,VERY_LIGHT,14,15,47.0,0
75,0,7,2,7,0.0,54.0,2.4,43.7,EW,HEAVY,0,13,54.0,2
76,0,5,4,7,0.0,38.0,4.8,33.5,EW,MEDIUM,1,15,39.0,0
77,0,3,4,5,0.0,23.0,4.8,21.1,EW,MEDIUM,2,13,23.0,2
78,0,1,4,5,0.0,7.0,4.8,10.9,EW,LIGHT,3,13,7.0,0
79,1,0,6,5,1.0,0.0,10.9,6.0,EW,VERY_LIGHT,4,15,1.0,0
80,1,0,6,6,2.0,0.0,11.1,7.2,EW,VERY_LIGHT,5,16,2.0,0
81,1,0,6,4,3.0,0.0,11.3,4.8,EW,VERY_LIGHT,6,16,3.0,0
82,3,0,6,4,6.0,0.0,18.9,4.8,EW,VERY_LIGHT,7,16,6.0,0
83,5,0,6,5,11.0,0.0,26.9,6.0,EW,VERY_LIGHT,8,16,11.0,1
84,6,0,6,3,17.0,0.0,31.6,3.6,EW,VERY_LIGHT,9,16,17.0,0
85,6,0,6,4,23.0,0.0,32.8,4.8,EW,VERY_LIGHT,10,15,23.0,2
86,6,0,6,4,29.0,0.0,34.0,4.8,EW,VERY_LIGHT,11,15,29.0,0
87,6,0,6,3,35.0,0.0,35.2,3.6,EW,VERY_LIGHT,12,15,35.0,1
88,6,0,6,4,41.0,0.0,36.4,4.8,EW,VERY_LIGHT,13,16,41.0,0
89,6,0,6,2,47.0,0.0,37.6,2.4,EW,VERY_LIGHT,14,14,47.0,2
90,6,0,6,3,53.0,0.0,38.8,3.6,NS,MEDIUM,0,15,53.0,0
91,4,0,6,4,36.0,0.0,28.4,4.8,NS,MEDIUM,1,14,36.0,2
92,2,0,4,5,19.0,0.0,15.6,6.0,NS,LIGHT,2,14,19.0,1
93,0,0,4,5,0.0,0.0,4.8,6.0,NS,VERY_LIGHT,3,13,0.0,1
94,0,1,4,5,0.0,1.0,4.8,9.7,NS,VERY_LIGHT,4,13,1.0,0
95,0,2,4,5,0.0,3.0,4.8,13.6,NS,VERY_LIGHT,5,13,3.0,0
96,0,4,3,7,0.0,6.0,3.6,23.6,NS,VERY_LIGHT,6,16,6.0,0
97,0,3,4,7,0.0,9.0,4.8,20.7,NS,VERY_LIGHT,7,16,9.0,1
98,0,4,4,7,0.0,13.0,4.8,25.0,NS,VERY_LIGHT,8,16,13.0,0
99,0,5,2,7,0.0,18.0,2.4,29.5,NS,VERY_LIGHT,9,16,18.0,0
100,0,5,4,7,0.0,23.0,4.8,30.5,NS,VERY_LIGHT,10,15,23.0,3
101,0,6,4,7,0.0,29.0,4.8,35.2,NS,VERY_LIGHT,11,15,29.0,0
102,0,6,2,7,0.0,35.0,2.4,36.4,NS,VERY_LIGHT,12,15,35.0,0
103,0,7,4,7,0.0,42.0,4.8,41.3,NS,VERY_LIGHT,13,15,42.0,2
104,0,7,2,7,0.0,49.0,2.4,42.7,NS,VERY_LIGHT,14,15,49.0,0
105,0,7,2,7,0.0,56.0,2.4,44.1,EW,HEAVY,0,13,56.0,2
106,0,5,4,7,0.0,38.0,4.8,33.5,EW,MEDIUM,1,15,39.0,0
107,1,3,4,5,1.0,21.0,8.5,20.7,EW,MEDIUM,2,13,22.0,2
108,0,1,4,5,0.0,8.0,4.8,11.1,EW,LIGHT,3,13,8.0,0
109,1,0,6,5,1.0,0.0,10.9,6.0,EW,VERY_LIGHT,4,15,1.0,0
110,1,0,6,6,2.0,0.0,11.1,7.2,EW,VERY_LIGHT,5,16,2.0,0
111,3,0,6,4,5.0,0.0,18.7,4.8,EW,VERY_LIGHT,6,16,5.0,0
112,3,0,6,4,8.0,0.0,19.3,4.8,EW,VERY_LIGHT,7,16,8.0,0
113,5,0,6,4,13.0,0.0,27.3,4.8,EW,VERY_LIGHT,8,16,13.0,0
114,5,0,6,4,18.0,0.0,28.3,4.8,EW,VERY_LIGHT,9,17,18.0,1
115,6,0,6,4,24.0,0.0,33.0,4.8,EW,VERY_LIGHT,10,15,24.0,2
116,6,0,6,4,30.0,0.0,34.2,4.8,EW,VERY_LIGHT,11,14,30.0,1
117,6,0,6,4,36.0,0.0,35.4,4.8,EW,VERY_LIGHT,12,16,36.0,0
118,6,0,6,4,42.0,0.0,36.6,4.8,EW,VERY_LIGHT,13,14,42.0,2
119,6,0,6,2,48.0,0.0,37.8,2.4,EW,VERY_LIGHT,14,14,48.0,0
120,6,0,6,4,54.0,0.0,39.0,4.8,NS,MEDIUM,0,14,54.0,2
121,4,0,6,4,36.0,0.0,28.4,4.8,NS,MEDIUM,1,14,36.0,0
122,2,0,4,5,18.0,0.0,15.4,6.0,NS,LIGHT,2,13,18.0,2
123,0,0,4,5,0.0,0.0,4.8,6.0,NS,VERY_LIGHT,3,13,0.0,0
124,0,1,4,5,0.0,1.0,4.8,9.7,NS,VERY_LIGHT,4,13,1.0,0
125,0,2,4,5,0.0,3.0,4.8,13.6,NS,VERY_LIGHT,5,13,3.0,0
126,0,3,2,6,0.0,6.0,2.4,18.9,NS,VERY_LIGHT,6,14,6.0,0
127,0,3,4,6,0.0,9.0,4.8,19.5,NS,VERY_LIGHT,7,16,9.0,0
128,0,4,4,6,0.0,13.0,4.8,23.8,NS,VERY_LIGHT,8,15,13.0,1
129,0,5,2,6,0.0,18.0,2.4,28.3,NS,VERY_LIGHT,9,15,18.0,0
130,0,6,3,6,0.0,24.0,3.6,33.0,NS,VERY_LIGHT,10,14,24.0,2
131,0,7,4,7,0.0,30.0,4.8,38.9,NS,VERY_LIGHT,11,15,30.0,1
132,0,6,2,7,0.0,36.0,2.4,36.6,NS,VERY_LIGHT,12,14,36.0,1
133,0,6,3,7,0.0,42.0,3.6,37.8,NS,VERY_LIGHT,13,14,42.0,1
134,0,6,1,7,0.0,48.0,1.2,39.0,NS,VERY_LIGHT,14,14,48.0,0
135,0,6,1,7,0.0,54.0,1.2,40.2,EW,HEAVY,0,12,54.0,2
136,0,4,3,7,0.0,36.0,3.6,29.6,EW,MEDIUM,1,14,36.0,0
137,0,3,3,5,0.0,18.0,3.6,20.1,EW,MEDIUM,2,12,18.0,2
138,0,1,4,5,0.0,9.0,4.8,11.3,EW,LIGHT,3,13,9.0,0
139,0,0,5,5,0.0,0.0,6.0,6.0,EW,VERY_LIGHT,4,14,0.0,0
140,2,0,6,5,2.0,0.0,14.6,6.0,EW,VERY_LIGHT,5,15,2.0,0
141,3,0,6,3,5.0,0.0,18.7,3.6,EW,VERY_LIGHT,6,15,5.0,0
142,5,0,6,3,10.0,0.0,26.7,3.6,EW,VERY_LIGHT,7,14,10.0,1
143,5,0,6,4,15.0,0.0,27.7,4.8,EW,VERY_LIGHT,8,15,15.0,0
144,6,0,6,4,21.0,0.0,32.4,4.8,EW,VERY_LIGHT,9,16,21.0,0
145,6,0,6,3,27.0,0.0,33.6,3.6,EW,VERY_LIGHT,10,14,27.0,2
146,6,0,6,4,33.0,0.0,34.8,4.8,EW,VERY_LIGHT,11,14,33.0,1
147,6,0,6,4,39.0,0.0,36.0,4.8,EW,VERY_LIGHT,12,15,39.0,0
148,6,0,6,3,45.0,0.0,37.2,3.6,EW,VERY_LIGHT,13,13,45.0,2
149,6,0,6,3,51.0,0.0,38.4,3.6,EW,VERY_LIGHT,14,14,51.0,0
150,6,0,6,3,57.0,0.0,39.6,3.6,NS,MEDIUM,0,14,57.0,1
151,4,0,6,3,39.0,0.0,29.0,3.6,NS,MEDIUM,1,13,39.0,1
152,2,0,4,4,20.0,0.0,15.8,4.8,NS,LIGHT,2,13,20.0,1
153,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,3,12,0.0,1
154,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,4,12,0.0,0
155,0,2,4,5,0.0,1.0,4.8,13.2,NS,VERY_LIGHT,5,12,1.0,1
156,0,1,2,5,0.0,2.0,2.4,9.9,NS,VERY_LIGHT,6,12,2.0,0
157,0,2,4,6,0.0,4.0,4.8,15.0,NS,VERY_LIGHT,7,15,4.0,0
158,0,3,4,6,0.0,7.0,4.8,19.1,NS,VERY_LIGHT,8,15,7.0,0
159,0,4,2,6,0.0,11.0,2.4,23.4,NS,VERY_LIGHT,9,15,11.0,0
160,0,4,4,6,0.0,15.0,4.8,24.2,NS,VERY_LIGHT,10,14,15.0,3
161,0,5,4,6,0.0,20.0,4.8,28.7,NS,VERY_LIGHT,11,14,20.0,0
162,0,5,2,6,0.0,25.0,2.4,29.7,NS,VERY_LIGHT,12,13,25.0,1
163,0,6,4,6,0.0,31.0,4.8,34.4,NS,VERY_LIGHT,13,15,31.0,0
164,0,6,2,6,0.0,37.0,2.4,35.6,NS,VERY_LIGHT,14,14,37.0,1
165,0,6,3,6,0.0,43.0,3.6,36.8,EW,MEDIUM,0,14,43.0,1
166,0,4,4,6,0.0,27.0,4.8,26.6,EW,MEDIUM,1,14,27.0,1
167,0,2,4,5,0.0,16.0,4.8,16.2,EW,LIGHT,2,14,16.0,1
168,1,1,5,5,1.0,8.0,9.7,11.1,EW,LIGHT,3,14,9.0,1
169,1,0,6,5,2.0,0.0,11.1,6.0,EW,VERY_LIGHT,4,15,2.0,0
170,2,0,6,5,4.0,0.0,15.0,6.0,EW,VERY_LIGHT,5,15,4.0,0
171,4,0,6,4,8.0,0.0,22.8,4.8,EW,VERY_LIGHT,6,15,8.0,0
172,4,0,6,3,12.0,0.0,23.6,3.6,EW,VERY_LIGHT,7,15,12.0,0
173,5,0,6,3,17.0,0.0,28.1,3.6,EW,VERY_LIGHT,8,14,17.0,1
174,6,0,6,3,23.0,0.0,32.8,3.6,EW,VERY_LIGHT,9,15,23.0,0
175,6,0,6,2,29.0,0.0,34.0,2.4,EW,VERY_LIGHT,10,14,29.0,1
176,6,0,6,2,35.0,0.0,35.2,2.4,EW,VERY_LIGHT,11,12,35.0,2
177,6,0,6,2,41.0,0.0,36.4,2.4,EW,VERY_LIGHT,12,13,41.0,0
178,6,0,6,2,47.0,0.0,37.6,2.4,EW,VERY_LIGHT,13,12,47.0,1
179,6,0,6,3,53.0,0.0,38.8,3.6,EW,VERY_LIGHT,14,12,53.0,1
180,6,0,6,3,59.0,0.0,40.0,3.6,NS,MEDIUM,0,12,59.0,1
181,4,0,6,4,40.0,0.0,29.2,4.8,NS,MEDIUM,1,12,40.0,1
182,2,0,4,5,19.0,0.0,15.6,6.0,NS,LIGHT,2,13,19.0,0
183,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,3,13,1.0,1
184,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,4,13,2.0,0
185,0,3,4,7,0.0,5.0,4.8,19.9,NS,VERY_LIGHT,5,14,5.0,0
186,0,4,3,7,0.0,9.0,3.6,24.2,NS,VERY_LIGHT,6,14,9.0,1
187,0,6,4,7,0.0,15.0,4.8,32.4,NS,VERY_LIGHT,7,15,15.0,0
188,0,6,4,7,0.0,21.0,4.8,33.6,NS,VERY_LIGHT,8,15,21.0,0
189,0,7,3,7,0.0,28.0,3.6,38.5,NS,VERY_LIGHT,9,15,28.0,0
190,0,7,3,7,0.0,35.0,3.6,39.9,NS,VERY_LIGHT,10,14,35.0,2
191,0,7,3,7,0.0,42.0,3.6,41.3,NS,VERY_LIGHT,11,15,42.0,0
192,0,7,2,7,0.0,49.0,2.4,42.7,NS,VERY_LIGHT,12,13,49.0,2
193,0,7,3,7,0.0,56.0,3.6,44.1,NS,VERY_LIGHT,13,14,56.0,0
194,0,7,3,7,0.0,63.0,3.6,45.5,NS,VERY_LIGHT,14,14,63.0,1
195,0,7,3,7,0.0,70.0,3.6,46.9,EW,HEAVY,0,14,70.0,1
196,0,5,3,7,0.0,51.0,3.6,36.1,EW,MEDIUM,1,13,52.0,1
197,0,3,4,6,0.0,31.0,4.8,23.9,EW,MEDIUM,2,14,31.0,0
198,0,2,5,6,0.0,11.0,6.0,16.4,EW,LIGHT,3,14,11.0,1
199,1,2,6,6,1.0,3.0,10.9,14.8,EW,LIGHT,4,15,4.0,0
200,1,2,6,5,2.0,3.0,11.1,13.6,EW,LIGHT,5,15,5.0,0
201,1,1,6,4,3.0,2.0,11.3,8.7,EW,LIGHT,6,14,5.0,1
202,3,0,6,4,6.0,0.0,18.9,4.8,EW,VERY_LIGHT,7,14,6.0,0
203,4,0,6,4,10.0,0.0,23.2,4.8,EW,VERY_LIGHT,8,14,10.0,0
204,5,0,6,5,15.0,0.0,27.7,6.0,EW,VERY_LIGHT,9,16,15.0,0
205,5,0,6,4,20.0,0.0,28.7,4.8,EW,VERY_LIGHT,10,15,20.0,1
206,6,0,6,4,26.0,0.0,33.4,4.8,EW,VERY_LIGHT,11,14,26.0,1
207,6,0,6,4,32.0,0.0,34.6,4.8,EW,VERY_LIGHT,12,15,32.0,0
208,6,0,6,5,38.0,0.0,35.8,6.0,EW,VERY_LIGHT,13,16,38.0,0
209,6,0,6,4,44.0,0.0,37.0,4.8,EW,VERY_LIGHT,14,14,45.0,2
210,6,1,6,5,50.0,1.0,38.2,9.7,NS,MEDIUM,0,15,53.0,0
211,4,1,6,5,33.0,2.0,27.8,9.9,NS,MEDIUM,1,14,36.0,1
212,2,1,4,6,17.0,1.0,15.2,10.9,NS,LIGHT,2,15,18.0,0
213,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,3,14,1.0,1
214,0,0,4,6,0.0,0.0,4.8,7.2,NS,VERY_LIGHT,4,14,0.0,0
215,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,5,14,1.0,0
216,0,2,3,7,0.0,3.0,3.6,16.0,NS,VERY_LIGHT,6,16,3.0,0
217,0,4,4,7,0.0,7.0,4.8,23.8,NS,VERY_LIGHT,7,17,7.0,0
218,0,5,4,7,0.0,12.0,4.8,28.3,NS,VERY_LIGHT,8,17,12.0,0
219,0,6,2,7,0.0,18.0,2.4,33.0,NS,VERY_LIGHT,9,17,18.0,0
220,0,6,3,7,0.0,24.0,3.6,34.2,NS,VERY_LIGHT,10,15,24.0,3
221,0,7,4,7,0.0,31.0,4.8,39.1,NS,VERY_LIGHT,11,15,31.0,1
222,0,7,2,7,0.0,38.0,2.4,40.5,NS,VERY_LIGHT,12,15,38.0,0
223,0,7,3,7,0.0,45.0,3.6,41.9,NS,VERY_LIGHT,13,15,45.0,1
224,0,7,3,7,0.0,52.0,3.6,43.3,NS,VERY_LIGHT,14,15,52.0,1
225,0,7,2,7,0.0,59.0,2.4,44.7,EW,HEAVY,0,13,59.0,2
226,0,5,4,7,0.0,44.0,4.8,34.7,EW,MEDIUM,1,15,45.0,0
227,0,3,4,5,0.0,27.0,4.8,21.9,EW,MEDIUM,2,14,27.0,1
228,0,1,5,5,0.0,8.0,6.0,11.1,EW,LIGHT,3,14,8.0,1
229,1,0,6,5,1.0,0.0,10.9,6.0,EW,VERY_LIGHT,4,15,1.0,0
230,1,0,6,5,2.0,0.0,11.1,6.0,EW,VERY_LIGHT,5,15,2.0,0
231,2,0,6,4,4.0,0.0,15.0,4.8,EW,VERY_LIGHT,6,16,4.0,0
232,4,0,6,4,8.0,0.0,22.8,4.8,EW,VERY_LIGHT,7,15,8.0,1
233,4,0,6,4,12.0,0.0,23.6,4.8,EW,VERY_LIGHT,8,15,12.0,0
234,5,0,6,3,17.0,0.0,28.1,3.6,EW,VERY_LIGHT,9,15,17.0,1
235,6,0,6,4,23.0,0.0,32.8,4.8,EW,VERY_LIGHT,10,15,23.0,1
236,6,0,6,4,29.0,0.0,34.0,4.8,EW,VERY_LIGHT,11,14,29.0,1
237,6,0,6,3,35.0,0.0,35.2,3.6,EW,VERY_LIGHT,12,15,35.0,0
238,6,0,6,4,41.0,0.0,36.4,4.8,EW,VERY_LIGHT,13,14,41.0,2
239,6,0,6,2,47.0,0.0,37.6,2.4,EW,VERY_LIGHT,14,14,47.0,0
240,6,0,6,4,53.0,0.0,38.8,4.8,NS,MEDIUM,0,14,53.0,2
241,4,0,6,4,36.0,0.0,28.4,4.8,NS,MEDIUM,1,14,37.0,0
242,2,0,4,6,19.0,0.0,15.6,7.2,NS,LIGHT,2,16,19.0,0
243,0,0,4,6,0.0,0.0,4.8,7.2,NS,VERY_LIGHT,3,14,0.0,2
244,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,4,14,1.0,0
245,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,5,14,2.0,0
246,0,2,3,6,0.0,4.0,3.6,15.0,NS,VERY_LIGHT,6,14,4.0,0
247,0,5,4,7,0.0,9.0,4.8,27.7,NS,VERY_LIGHT,7,17,9.0,0
248,0,5,4,7,0.0,14.0,4.8,28.7,NS,VERY_LIGHT,8,16,14.0,1
249,0,5,3,7,0.0,19.0,3.6,29.7,NS,VERY_LIGHT,9,16,19.0,0
250,0,6,3,7,0.0,25.0,3.6,34.4,NS,VERY_LIGHT,10,15,25.0,2
251,0,6,4,7,0.0,31.0,4.8,35.6,NS,VERY_LIGHT,11,15,31.0,1
252,0,7,2,7,0.0,38.0,2.4,40.5,NS,VERY_LIGHT,12,15,38.0,0
253,0,7,2,7,0.0,45.0,2.4,41.9,NS,VERY_LIGHT,13,14,45.0,1
254,0,7,4,7,0.0,52.0,4.8,43.3,NS,VERY_LIGHT,14,15,52.0,1
255,0,7,2,7,0.0,59.0,2.4,44.7,EW,HEAVY,0,14,59.0,1
256,0,5,3,7,0.0,43.0,3.6,34.5,EW,MEDIUM,1,14,43.0,1
257,0,3,4,5,0.0,25.0,4.8,21.5,EW,MEDIUM,2,15,25.0,0
258,0,1,4,5,0.0,7.0,4.8,10.9,EW,LIGHT,3,13,7.0,2
259,1,0,6,5,1.0,0.0,10.9,6.0,EW,VERY_LIGHT,4,15,1.0,0
260,2,0,6,5,3.0,0.0,14.8,6.0,EW,VERY_LIGHT,5,15,3.0,0
261,4,0,6,5,7.0,0.0,22.6,6.0,EW,VERY_LIGHT,6,15,7.0,1
262,5,0,6,4,12.0,0.0,27.1,4.8,EW,VERY_LIGHT,7,15,12.0,0
263,6,0,6,4,18.0,0.0,31.8,4.8,EW,VERY_LIGHT,8,15,18.0,0
